trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
97d9771e-f13c-497f-a68b-eb62079dba0a,1,W3L,13:50:00,13:50:00,,,,,,344.23931159071026,0
44fa3994-7a29-4b71-8e97-676c333fe473,0,W3R,15:45:00,15:45:00,,,,,,0,0
44fa3994-7a29-4b71-8e97-676c333fe473,1,W3L,15:50:00,15:50:00,,,,,,344.23931159071026,0
95fce5e6-cfd9-49ae-82ed-54d9504f81eb,0,W3R,18:30:00,18:30:00,,,,,,0,0
95fce5e6-cfd9-49ae-82ed-54d9504f81eb,1,W3L,18:35:00,18:35:00,,,,,,344.23931159071026,0
W12-13,0,W1R,14:10:00,14:10:00,,1,,,,0,0
W12-13,1,W1L,14:15:00,14:15:00,,1,,,,449.3842836927089,0
W12-17,0,W1R,15:30:00,15:30:00,,1,,,,0,0
W12-17,1,W1L,15:35:00,15:35:00,,1,,,,449.3842836927089,0
W12-16,0,W1R,15:10:00,15:10:00,,1,,,,0,0
W12-16,1,W1L,15:15:00,15:15:00,,1,,,,449.3842836927089,0
W12-19,0,W1R,16:40:00,16:40:00,,1,,,,0,0
W12-19,1,W1L,16:45:00,16:45:00,,1,,,,449.3842836927089,0
W12-18,0,W1R,15:50:00,15:50:00,,1,,,,0,0
W12-18,1,W1L,15:55:00,15:55:00,,1,,,,449.3842836927089,0
W12-20,0,W1R,17:00:00,17:00:00,,1,,,,0,0
W12-20,1,W1L,17:05:00,17:05:00,,1,,,,449.3842836927089,0
W12-21,0,W1R,17:20:00,17:20:00,,1,,,,0,0
W12-21,1,W1L,17:25:00,17:25:00,,1,,,,449.3842836927089,0
W12-22,0,W1R,17:40:00,17:40:00,,1,,,,0,0
W12-22,1,W1L,17:45:00,17:45:00,,1,,,,449.3842836927089,0
W12-23,0,W1R,18:00:00,18:00:00,,1,,,,0,0
W12-23,1,W1L,18:05:00,18:05:00,,1,,,,449.3842836927089,0
W12-27,0,W1R,19:20:00,19:20:00,,1,,,,0,0
W12-27,1,W1L,19:25:00,19:25:00,,1,,,,449.3842836927089,0
W12-26,0,W1R,19:00:00,19:00:00,,1,,,,0,0
W12-26,1,W1L,19:05:00,19:05:00,,1,,,,449.3842836927089,0
W12-25,0,W1R,18:40:00,18:40:00,,1,,,,0,0
W12-25,1,W1L,18:45:00,18:45:00,,1,,,,449.3842836927089,0
W12-28,0,W1R,19:40:00,19:40:00,,1,,,,0,0
W12-28,1,W1L,19:45:00,19:45:00,,1,,,,449.3842836927089,0
W12-29,0,W1R,20:00:00,20:00:00,,1,,,,0,0
W12-29,1,W1L,20:05:00,20:05:00,,1,,,,449.3842836927089,0
W12-24,0,W1R,18:20:00,18:20:00,,1,,,,0,0
W12-24,1,W1L,18:25:00,18:25:00,,1,,,,449.3842836927089,0
0c1d58ae-e7ec-4de3-bbaa-acd683a8d9cf,0,W2R,11:00:00,11:00:00,,0,1,,,0,0
0c1d58ae-e7ec-4de3-bbaa-acd683a8d9cf,1,W2L,11:05:00,11:05:00,,1,0,,,303.09863780647584,0
4a709663-83ab-4716-91ea-e9b8bd61c265,0,W2R,11:40:00,11:40:00,,0,1,,,0,0
4a709663-83ab-4716-91ea-e9b8bd61c265,1,W2L,11:45:00,11:45:00,,1,0,,,303.09863780647584,0
513fca5e-2a06-4178-a68e-8eb6d00ddda6,0,W2R,13:30:00,13:30:00,,0,1,,,0,0
513fca5e-2a06-4178-a68e-8eb6d00ddda6,1,W2L,13:35:00,13:35:00,,1,0,,,303.09863780647584,0
7998d128-e13e-4115-8369-d5ee2c1187d6,0,W2R,13:50:00,13:50:00,,0,1,,,0,0
7998d128-e13e-4115-8369-d5ee2c1187d6,1,W2L,13:55:00,13:55:00,,1,0,,,303.09863780647584,0
9b9a989a-5b33-45b3-b88c-0b7ce8e7d50a,0,W2R,15:50:00,15:50:00,,0,1,,,0,0
9b9a989a-5b33-45b3-b88c-0b7ce8e7d50a,1,W2L,15:55:00,15:55:00,,1,0,,,303.09863780647584,0
e3b39ed1-8e09-4137-8842-e1cd85598840,0,W2R,15:30:00,15:30:00,,0,1,,,0,0
e3b39ed1-8e09-4137-8842-e1cd85598840,1,W2L,15:35:00,15:35:00,,1,0,,,303.09863780647584,0
c93017bf-f788-44ef-92e0-fe211fcb4e7c,0,W2R,18:00:00,18:00:00,,0,1,,,0,0
c93017bf-f788-44ef-92e0-fe211fcb4e7c,1,W2L,18:05:00,18:05:00,,1,0,,,303.09863780647584,0
c51ce368-1717-43e0-b6c0-42f0388f961b,0,W2L,19:50:00,19:50:00,,0,1,,,0,0
c51ce368-1717-43e0-b6c0-42f0388f961b,1,W2R,19:55:00,19:55:00,,1,0,,,301.1997373744214,0
b7f9e9f2-911b-4381-8f94-61a96b964350,0,W2L,19:30:00,19:30:00,,0,1,,,0,0
b7f9e9f2-911b-4381-8f94-61a96b964350,1,W2R,19:35:00,19:35:00,,1,0,,,301.1997373744214,0
446592f7-9f25-4c56-b353-e8204bfef886,0,W2L,14:00:00,14:00:00,,0,1,,,0,0
446592f7-9f25-4c56-b353-e8204bfef886,1,W2R,14:05:00,14:05:00,,1,0,,,301.1997373744214,0
ceca0d15-f5aa-416e-bf18-f9a684c7e302,0,W2L,15:00:00,15:00:00,,0,1,,,0,0
ceca0d15-f5aa-416e-bf18-f9a684c7e302,1,W2R,15:05:00,15:05:00,,1,0,,,301.1997373744214,0
dd79d34d-7e56-404b-ba1a-efb509cda7e3,0,W2L,13:00:00,13:00:00,,0,1,,,0,0
dd79d34d-7e56-404b-ba1a-efb509cda7e3,1,W2R,13:05:00,13:05:00,,1,0,,,301.1997373744214,0
f34cc0a8-a77f-4625-b53f-82d18e1e429d,0,W2L,12:30:00,12:30:00,,0,1,,,0,0
f34cc0a8-a77f-4625-b53f-82d18e1e429d,1,W2R,12:35:00,12:35:00,,1,0,,,301.1997373744214,0
b9b091ae-ed93-4fae-81d3-e9200ecd664e,0,W2L,14:30:00,14:30:00,,0,1,,,0,0
b9b091ae-ed93-4fae-81d3-e9200ecd664e,1,W2R,14:35:00,14:35:00,,1,0,,,301.1997373744214,0
18aefcfb-20f7-4fac-976a-ed23a82c0030,0,W2L,13:30:00,13:30:00,,0,1,,,0,0
